co_id,co_name,roast_level,acidity,com,three_letters
1,スターバックスライトノートブレンド,軽,中,ミルクチョコレート、煎ったナッツ,LNB
2,ブレックファーストブレンド,中,高,ナッツ、リンゴ、ブルーベリー、レモン,BRK
3,サイレンブレンド,中,中,キャンディードシトラス、チョコレート,SRN
4,ケニア,中,高,グレープフルーツ、ベリー類、カラント（スグリ）,KEN
5,パイクプレイスロースト,中,中,ナッツ、チョコレート、シナモン,EDB
6,グアテマラアンティグア,中,中,チョコレート、ナッツ、キャラメル、リンゴ,GUA
7,エチオピア,中,高,ダークチョコレート、スイートシトラス,BNA
8,ハウスブレンド,中,中,ナッツ、リンゴ、ブルーベリー,HOU
9,ディカフェハウスブレンド,中,中,ナッツ、リンゴ、ブルーベリ,DHO
10,コロンビア,中,中,ミルクチョコレート、ピーカンナッツ,CLG
11,トウキョウロースト,深,中,シナモン、レーズン、オートミール、チョコレート,TYO
12,スマトラ,深,少,シナモン、オートミール、メープル、バター、トフィー、チーズ,SUM
13,コモドドラゴンブレンド,深,少,シナモン、メープル、バター、チーズ、ハーブ,KDR
14,カフェベロナ,深,少,ミルクチョコレート、ダークチョコレート、カラメル,VER
15,エスプレッソロースト,深,中,キャラメル、チョコレート、スパイス、ナッツ,ESP
16,イタリアンロースト,深,少,ダークチョコレート、カラメル、スパイス,ITA
17,フレンチロースト,深,少,煎ったナッツ、ローストした野菜、カラメル,FRE
